source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n5944,n13621,4,1.0,1.0,1.0
n5945,n13804,3,0.75,1.0,0.875
n5946,n9940,4,1.0,1.0,1.0
n5947,n8332,4,1.0,1.0,1.0
n5948,n8439,4,1.0,1.0,1.0
n5949,n4349,4,1.0,1.0,1.0
n595,n12950,4,1.0,1.0,1.0
n5950,n10024,4,1.0,1.0,1.0
n5951,n8610,4,1.0,1.0,1.0
n5952,n13841,4,1.0,1.0,1.0
n5953,n9772,4,1.0,1.0,1.0
n5954,n9060,3,0.75,1.0,0.875
n5955,n13849,3,0.75,0.75,0.75
n5955,n9849,4,1.0,1.0,1.0
n5956,n8922,4,1.0,1.0,1.0
n5957,n9802,3,0.75,1.0,0.875
n5958,n11161,4,1.0,1.0,1.0
n5959,n13883,4,1.0,1.0,1.0
n596,n3401,4,1.0,1.0,1.0
n5960,n10186,4,1.0,1.0,1.0
n5961,n10193,4,1.0,1.0,1.0
n5962,n12506,4,1.0,1.0,1.0
n5963,n10997,3,0.75,1.0,0.875
n5964,n11043,3,0.75,1.0,0.875
n5965,n11201,4,1.0,1.0,1.0
n5965,n13909,4,1.0,1.0,1.0
n5966,n10401,4,1.0,1.0,1.0
n5967,n13942,3,0.75,1.0,0.875
n5968,n11227,3,0.75,1.0,0.875
n5969,n12552,4,1.0,1.0,1.0
n597,n2086,4,1.0,1.0,1.0
n5970,n11348,4,1.0,1.0,1.0
n5971,n3668,3,0.75,1.0,0.875
n5972,n10639,4,1.0,1.0,1.0
n5973,n7143,4,1.0,1.0,1.0
n5974,n12338,4,1.0,1.0,1.0
n5975,n12668,4,1.0,1.0,1.0
n5976,n12739,4,1.0,1.0,1.0
n5977,n12743,3,0.75,1.0,0.875
n5978,n10763,4,1.0,1.0,1.0
n5979,n14095,4,1.0,1.0,1.0
n598,n2099,4,1.0,1.0,1.0
n5980,n12719,4,1.0,1.0,1.0
n5981,n7159,4,1.0,1.0,1.0
n5982,n10909,4,1.0,1.0,1.0
n5983,n14163,4,1.0,1.0,1.0
n5984,n10958,3,0.75,1.0,0.875
n5985,n9555,3,0.75,1.0,0.875
n5986,n11072,4,1.0,1.0,1.0
n5987,n13938,3,0.75,1.0,0.875
n5988,n11101,4,1.0,1.0,1.0
n5989,n13139,4,1.0,1.0,1.0
n599,n12223,3,0.75,1.0,0.875
n5990,n4553,4,1.0,1.0,1.0
n5991,n14736,4,1.0,1.0,1.0
n5992,n14779,4,1.0,1.0,1.0
n5993,n14279,4,1.0,1.0,1.0
n5994,n7224,3,0.75,1.0,0.875
n5995,n7227,3,0.75,1.0,0.875
n5996,n14760,4,1.0,1.0,1.0
n5997,n14309,4,1.0,1.0,1.0
n5998,n11376,4,1.0,1.0,1.0
n5999,n14326,4,1.0,1.0,1.0
n6,n11,4,1.0,1.0,1.0
n60,n7599,4,1.0,1.0,1.0
n600,n10719,4,1.0,1.0,1.0
n6000,n760,4,1.0,1.0,1.0
n6001,n7251,4,1.0,1.0,1.0
n6002,n7261,3,0.75,1.0,0.875
n6003,n7264,4,1.0,1.0,1.0
n6004,n8222,4,1.0,1.0,1.0
n6005,n9930,4,1.0,1.0,1.0
n6006,n11836,4,1.0,1.0,1.0
n6007,n11857,3,0.75,1.0,0.875
n6008,n2862,3,0.75,1.0,0.875
n6009,n14492,4,1.0,1.0,1.0
n601,n2245,4,1.0,1.0,1.0
n6010,n7281,4,1.0,1.0,1.0
n6011,n7290,4,1.0,1.0,1.0
n6012,n7308,4,1.0,1.0,1.0
n6013,n3819,4,1.0,1.0,1.0
n6014,n4153,4,1.0,1.0,1.0
n6015,n12379,4,1.0,1.0,1.0
n6016,n14646,4,1.0,1.0,1.0
n6017,n7319,3,0.75,1.0,0.875
n6018,n4992,4,1.0,1.0,1.0
n6019,n7320,3,0.75,1.0,0.875
n602,n8510,4,1.0,1.0,1.0
n6020,n5562,4,1.0,1.0,1.0
n6021,n7330,4,1.0,1.0,1.0
n6022,n5615,4,1.0,1.0,1.0
n6023,n5757,4,1.0,1.0,1.0
n6024,n7311,3,0.75,1.0,0.875
n6025,n12699,4,1.0,1.0,1.0
n6026,n12735,4,1.0,1.0,1.0
n6027,n7351,4,1.0,1.0,1.0
n6028,n14770,3,0.75,1.0,0.875
n6029,n7353,4,1.0,1.0,1.0
n603,n2123,4,1.0,1.0,1.0
n6030,n7358,4,1.0,1.0,1.0
n6031,n14782,4,1.0,1.0,1.0
n6031,n14784,4,1.0,1.0,1.0
n6032,n13128,4,1.0,1.0,1.0
n6033,n13356,4,1.0,1.0,1.0
n6034,n8825,4,1.0,1.0,1.0
n6035,n7364,4,1.0,1.0,1.0
n6036,n12909,3,0.75,1.0,0.875
n6037,n885,4,1.0,1.0,1.0
n6038,n7384,4,1.0,1.0,1.0
n6039,n7842,3,0.75,1.0,0.875
n604,n4038,3,0.75,1.0,0.875
n6040,n7388,3,0.75,1.0,0.875
n6041,n8239,4,1.0,1.0,1.0
n6042,n14922,3,0.75,1.0,0.875
n6043,n13379,4,1.0,1.0,1.0
n6044,n14942,3,0.75,1.0,0.875
n6045,n4250,4,1.0,1.0,1.0
n6046,n8848,3,0.75,1.0,0.875
n6047,n9201,4,1.0,1.0,1.0
n6048,n13674,4,1.0,1.0,1.0
n6049,n15003,4,1.0,1.0,1.0
n6049,n5780,4,1.0,1.0,1.0
n6049,n7435,3,0.75,0.75,0.75
n6049,n8950,4,1.0,1.0,1.0
n605,n2653,4,1.0,1.0,1.0
n6050,n7440,4,1.0,1.0,1.0
n6051,n15022,4,1.0,1.0,1.0
n6052,n10374,3,0.75,1.0,0.875
n6053,n7452,4,1.0,1.0,1.0
n6054,n9112,4,1.0,1.0,1.0
n6055,n7472,4,1.0,1.0,1.0
n6056,n11232,3,0.75,1.0,0.875
n6057,n14832,4,1.0,1.0,1.0
n6058,n11349,4,1.0,1.0,1.0
n6059,n7477,3,0.75,1.0,0.875
n606,n4066,4,1.0,1.0,1.0
n6060,n11414,4,1.0,1.0,1.0
n6061,n874,3,0.75,1.0,0.875
n6062,n944,4,1.0,1.0,1.0
n6063,n1780,3,0.75,1.0,0.875
n6064,n7488,4,1.0,1.0,1.0
n6065,n14575,4,1.0,1.0,1.0
n6066,n12277,4,1.0,1.0,1.0
n6067,n12353,4,1.0,1.0,1.0
n6068,n4959,3,0.75,1.0,0.875
n6069,n15246,4,1.0,1.0,1.0
n607,n1035,4,1.0,1.0,1.0
n6070,n15259,4,1.0,1.0,1.0
n6071,n14817,3,0.75,1.0,0.875
n6072,n224,4,1.0,1.0,1.0
n6073,n7526,4,1.0,1.0,1.0
n6074,n15020,4,1.0,1.0,1.0
n6075,n15384,3,0.75,1.0,0.875
n6076,n15409,4,1.0,1.0,1.0
n6077,n14538,4,1.0,1.0,1.0
n6078,n15472,4,1.0,1.0,1.0
n6079,n15492,3,0.75,1.0,0.875
n608,n2136,4,1.0,1.0,1.0
n6080,n7560,3,0.75,1.0,0.875
n6081,n15157,4,1.0,1.0,1.0
n6082,n15555,3,0.75,1.0,0.875
n6083,n10418,3,0.75,1.0,0.875
n6084,n2691,4,1.0,1.0,1.0
n6085,n7657,4,1.0,1.0,1.0
n6086,n3464,4,1.0,1.0,1.0
n6087,n7689,4,1.0,1.0,1.0
n6088,n2365,3,0.75,1.0,0.875
n6089,n2776,4,1.0,1.0,1.0
n609,n4173,4,1.0,1.0,1.0
n6090,n6221,4,1.0,1.0,1.0
n6091,n13542,4,1.0,1.0,1.0
n6092,n10626,4,1.0,1.0,1.0
n6093,n1226,4,1.0,1.0,1.0
n6094,n4219,4,1.0,1.0,1.0
n6095,n1635,4,1.0,1.0,1.0
n6096,n7914,4,1.0,1.0,1.0
n6097,n12370,4,1.0,1.0,1.0
n6098,n1668,3,0.75,1.0,0.875
n6099,n8009,4,1.0,1.0,1.0
n61,n181,4,1.0,1.0,1.0
n610,n8543,4,1.0,1.0,1.0
